# device warming up from 21 °C to 27 °C (measured at case), watching a ceiling of 19.25 °C
#rmin rmax central devtempsns
15836 16031 15896 4338
15831 16029 15895 4339
15836 16026 15896 4339
15832 16029 15895 4338
15832 16027 15896 4338
15835 16029 15894 4339
15830 16029 15896 4339
15837 16028 15906 4338
15841 16026 15905 4338
15839 16027 15901 4339
15841 16031 15903 4338
15837 16028 15901 4338
15835 16031 15903 4339
15837 16025 15903 4338
15835 16023 15902 4339
15832 16025 15900 4338
15828 16027 15901 4338
15823 16025 15901 4338
15828 16029 15899 4338
15825 16024 15900 4338
15832 16026 15899 4338
15827 16025 15902 4339
15825 16026 15899 4339
15828 16027 15899 4338
15827 16026 15900 4339
15826 16026 15898 4338
15820 16026 15897 4338
15820 16026 15898 4338
15837 16027 15899 4338
15833 16026 15899 4338
15837 16028 15899 4338
15837 16029 15897 4338
15831 16027 15898 4338
15829 16027 15896 4338
15828 16021 15897 4338
15832 16026 15898 4337
15833 16026 15898 4337
15830 16025 15896 4337
15829 16027 15896 4338
15831 16027 15894 4337
15825 16025 15895 4337
15827 16022 15894 4337
15827 16022 15892 4337
15826 16021 15890 4337
15825 16024 15889 4337
15820 16021 15891 4337
15822 16021 15891 4336
15824 16024 15889 4337
15823 16021 15891 4336
15833 16025 15894 4336
15826 16020 15892 4336
15828 16022 15892 4337
15828 16023 15893 4337
15831 16024 15891 4336
15827 16021 15888 4337
15827 16020 15888 4336
15827 16020 15885 4336
15819 16019 15885 4337
15821 16018 15885 4336
15819 16018 15884 4336
15812 16021 15887 4337
15817 16020 15886 4337
15821 16017 15887 4336
15815 16018 15887 4336
15816 16017 15886 4335
15823 16020 15885 4336
15816 16021 15885 4335
15816 16019 15885 4336
15815 16020 15883 4336
15816 16019 15884 4335
15834 16023 15893 4336
15828 16022 15894 4335
15829 16023 15891 4336
15826 16025 15891 4336
15826 16026 15893 4335
15818 16025 15891 4336
15819 16024 15892 4335
15821 16025 15894 4335
15814 16025 15889 4335
15815 16023 15892 4335
15816 16026 15892 4335
15816 16023 15891 4335
15817 16022 15889 4335
15811 16021 15886 4335
15812 16021 15889 4334
15810 16022 15888 4335
15813 16021 15886 4335
15811 16021 15890 4334
15811 16024 15885 4336
15810 16022 15885 4335
15809 16023 15883 4334
15826 16017 15891 4335
15822 16016 15892 4336
15823 16015 15893 4335
15820 16012 15889 4334
15819 16015 15889 4335
15816 16012 15886 4335
15822 16019 15886 4334
15819 16019 15882 4334
15818 16018 15887 4335
15819 16018 15883 4335
15815 16021 15884 4335
15815 16017 15881 4335
15813 16019 15882 4334
15813 16016 15882 4334
15805 16020 15882 4335
15806 16017 15878 4334
15807 16022 15879 4334
15809 16018 15879 4335
15804 16023 15878 4334
15804 16023 15879 4334
15806 16017 15877 4335
15818 16019 15886 4334
15817 16015 15887 4334
15809 16015 15888 4334
15811 16018 15888 4335
15806 16015 15883 4334
15807 16012 15882 4334
15801 16011 15882 4333
15807 16013 15885 4334
15809 16013 15884 4333
15802 16013 15885 4334
15803 16008 15880 4333
15798 16013 15880 4333
15797 16013 15881 4333
15799 16011 15880 4333
15801 16008 15878 4333
15801 16008 15881 4332
15803 16010 15882 4333
15801 16012 15879 4333
15797 16010 15883 4334
15802 16017 15879 4333
15794 16015 15879 4332
15814 16012 15881 4334
15815 16011 15878 4334
15814 16019 15876 4333
15811 16014 15874 4333
15809 16010 15874 4333
15810 16012 15873 4333
15805 16011 15871 4333
15809 16014 15872 4332
15808 16011 15871 4333
15807 16010 15870 4333
15803 16008 15869 4332
15805 16011 15868 4333
15807 16011 15870 4332
15806 16012 15868 4332
15804 16012 15869 4332
15804 16010 15869 4331
15804 16006 15867 4332
15804 16009 15867 4332
15802 16009 15868 4332
15799 16008 15866 4332
15803 16012 15867 4332
15814 16012 15878 4333
15811 16013 15876 4332
15809 16009 15875 4332
15813 16011 15875 4332
15809 16006 15875 4332
15807 16009 15874 4331
15807 16010 15875 4332
15810 16005 15872 4331
15812 16011 15873 4331
15806 16011 15874 4331
15805 16009 15873 4332
15808 16011 15871 4331
15801 16005 15869 4331
15804 16010 15871 4331
15802 16009 15870 4331
15804 16012 15870 4331
15802 16011 15870 4330
15802 16007 15868 4331
15798 16006 15868 4331
15799 16006 15870 4331
15800 16006 15867 4330
15809 16007 15874 4331
15808 16009 15874 4331
15806 16005 15876 4331
15808 16010 15878 4331
15806 16005 15874 4330
15807 16011 15873 4331
15802 16006 15871 4331
15799 16005 15870 4330
15799 16009 15871 4331
15800 16003 15869 4330
15799 16004 15870 4331
15798 16007 15870 4330
15801 16005 15871 4331
15803 16004 15871 4331
15799 16003 15871 4330
15798 16005 15871 4330
15803 16005 15869 4330
15796 16005 15871 4331
15792 16010 15868 4331
15790 16006 15868 4331
15786 16004 15868 4330
15814 16009 15873 4330
15811 16008 15870 4330
15811 16008 15870 4331
15808 16008 15871 4330
15809 16009 15874 4329
15804 16003 15873 4330
15806 16005 15871 4330
15805 16009 15871 4329
15802 16007 15869 4330
15801 16012 15868 4330
15802 16009 15870 4330
15800 16009 15868 4330
15800 16009 15867 4329
15798 16013 15867 4330
15796 16006 15868 4329
15797 16004 15867 4330
15803 16008 15866 4329
15801 16006 15867 4329
15799 16005 15868 4330
15797 16006 15864 4330
15795 16003 15863 4329
15795 16007 15862 4329
15795 16007 15862 4329
15796 16003 15859 4329
15794 16009 15858 4329
15793 16009 15858 4329
15793 16011 15857 4330
15793 16009 15859 4328
15790 16009 15859 4329
15791 16006 15860 4328
15792 16006 15859 4330
15783 16007 15859 4329
15790 16009 15857 4329
15785 16010 15859 4329
15785 16007 15859 4329
15783 16008 15856 4329
15791 16004 15858 4329
15811 16006 15873 4329
