# device cooling down from about 30 °C
#rmin rmax central devtempsns
15522 15812 15603 4190
15527 15812 15599 4191
15517 15811 15600 4191
15521 15813 15599 4191
15525 15813 15607 4190
15525 15813 15608 4191
15526 15811 15605 4191
15524 15807 15608 4191
15529 15808 15605 4192
15527 15807 15604 4191
15527 15809 15605 4191
15526 15814 15605 4191
15527 15813 15609 4191
15527 15808 15606 4191
15524 15811 15604 4191
15522 15813 15603 4191
15524 15814 15603 4191
15526 15815 15603 4191
15524 15809 15604 4191
15524 15811 15605 4192
15523 15812 15608 4192
15521 15807 15605 4191
15526 15812 15604 4193
15521 15809 15603 4191
15521 15809 15603 4191
15526 15813 15606 4192
15529 15812 15603 4191
15527 15810 15602 4192
15527 15810 15603 4191
15519 15812 15603 4191
15524 15810 15598 4191
15521 15812 15602 4192
15519 15810 15603 4191
15527 15809 15601 4192
15523 15812 15605 4192
15525 15812 15602 4191
15520 15809 15600 4192
15522 15810 15599 4192
15521 15808 15600 4192
15522 15809 15599 4191
15522 15806 15598 4191
15522 15808 15596 4192
15522 15806 15599 4191
15523 15808 15597 4192
15522 15806 15596 4192
15519 15809 15597 4192
15526 15813 15603 4192
15525 15811 15603 4192
15525 15813 15604 4192
15522 15810 15602 4192
15521 15808 15598 4192
15522 15816 15598 4192
15523 15812 15601 4192
15527 15815 15600 4192
15524 15810 15600 4192
15523 15810 15596 4192
15521 15812 15600 4193
15520 15811 15598 4193
15517 15814 15596 4192
15524 15815 15598 4193
15524 15811 15600 4192
15525 15810 15600 4193
15521 15812 15599 4193
15521 15810 15598 4192
15526 15808 15600 4192
15521 15809 15602 4192
15521 15808 15600 4192
15525 15811 15602 4194
15521 15808 15601 4193
15521 15808 15597 4192
15522 15809 15595 4193
15521 15805 15591 4193
15519 15809 15594 4192
15521 15805 15593 4192
15519 15805 15591 4193
15522 15805 15594 4192
15520 15806 15593 4192
15520 15807 15593 4192
15523 15804 15594 4192
15522 15809 15593 4192
15514 15805 15590 4192
15519 15804 15590 4193
15518 15807 15593 4193
15516 15803 15596 4193
15517 15803 15595 4192
15516 15807 15594 4193
15516 15808 15594 4192
15519 15806 15597 4193
15518 15811 15597 4193
15522 15808 15597 4193
15519 15807 15593 4192
15516 15807 15593 4193
15516 15804 15594 4192
15515 15808 15596 4193
15518 15807 15596 4193
15518 15802 15594 4193
15517 15807 15596 4193
15517 15809 15591 4193
15513 15807 15589 4193
15517 15807 15590 4192
15514 15807 15589 4193
15515 15809 15592 4193
15510 15806 15591 4193
15508 15806 15592 4193
15513 15807 15591 4193
15512 15808 15590 4194
15515 15809 15589 4194
15514 15805 15590 4193
15513 15804 15588 4193
15521 15810 15597 4193
15514 15806 15596 4193
15520 15808 15596 4193
15522 15810 15597 4193
15521 15806 15596 4194
15521 15808 15599 4193
15520 15808 15595 4192
15521 15812 15594 4193
15521 15809 15594 4193
15520 15810 15592 4193
15520 15810 15593 4193
15517 15806 15593 4194
15516 15806 15595 4193
15516 15808 15595 4194
15517 15804 15595 4193
15516 15804 15594 4194
15512 15805 15597 4193
15513 15804 15595 4194
15515 15808 15598 4194
15516 15804 15593 4194
15516 15807 15591 4194
15516 15805 15594 4194
15518 15803 15592 4194
15515 15803 15593 4194
15514 15806 15593 4194
15515 15806 15595 4193
15517 15808 15594 4193
15514 15803 15593 4193
15511 15804 15594 4194
15516 15805 15592 4194
15514 15804 15593 4194
15513 15806 15596 4194
15514 15803 15596 4193
15512 15806 15596 4193
15512 15803 15595 4194
15515 15805 15595 4193
15511 15804 15596 4193
15513 15804 15597 4194
15513 15798 15595 4193
15513 15801 15596 4194
15512 15800 15592 4194
15515 15800 15591 4194
15518 15810 15594 4194
15511 15806 15593 4194
15514 15806 15593 4194
15514 15803 15589 4193
15513 15802 15590 4193
15511 15804 15590 4193
15511 15801 15590 4194
15511 15803 15593 4194
15509 15802 15591 4194
15511 15806 15592 4194
15514 15801 15592 4195
15509 15804 15593 4194
15511 15804 15593 4194
15512 15808 15589 4194
15510 15806 15590 4194
15509 15804 15590 4194
15515 15803 15590 4194
15509 15805 15592 4193
15510 15803 15595 4194
15513 15800 15594 4194
15507 15803 15590 4195
15518 15807 15593 4194
15513 15805 15593 4195
15516 15807 15592 4194
15515 15808 15593 4194
15517 15811 15593 4195
15515 15808 15592 4195
15510 15804 15593 4194
15513 15803 15593 4195
15511 15806 15593 4195
15511 15808 15593 4194
15515 15805 15592 4195
15511 15803 15591 4194
15513 15809 15588 4194
15510 15809 15591 4195
15509 15806 15597 4195
15506 15805 15594 4195
15512 15808 15592 4195
15502 15810 15592 4196
15505 15809 15590 4194
15509 15807 15590 4194
15510 15802 15592 4194
15514 15806 15591 4195
15514 15802 15591 4195
15513 15807 15592 4195
15513 15803 15592 4194
15509 15803 15592 4194
15514 15802 15591 4195
15515 15803 15590 4196
15514 15800 15590 4193
15516 15797 15590 4194
15513 15802 15592 4195
15515 15800 15592 4194
15513 15801 15591 4194
15510 15799 15592 4195
15514 15803 15588 4195
15512 15801 15588 4195
15508 15802 15593 4195
15511 15801 15591 4196
15505 15798 15591 4195
15510 15797 15588 4195
15510 15800 15588 4194
15514 15804 15591 4195
15506 15803 15590 4196
15508 15800 15588 4195
15505 15800 15586 4195
15506 15804 15584 4195
15509 15801 15584 4194
15510 15801 15587 4195
15506 15797 15587 4195
15513 15799 15590 4195
15510 15799 15589 4195
15511 15799 15586 4196
15507 15802 15587 4195
15512 15799 15589 4196
15510 15800 15587 4196
15507 15796 15586 4195
15510 15800 15583 4196
15512 15799 15582 4195
15512 15800 15582 4195
15514 15795 15581 4196
15511 15800 15582 4196
15510 15798 15584 4195
15511 15801 15584 4195
15508 15806 15587 4195
15503 15800 15587 4195
15506 15800 15589 4196
15508 15802 15589 4195
15506 15802 15586 4195
15507 15799 15587 4195
15503 15802 15585 4196
15506 15805 15587 4195
15505 15801 15584 4195
15506 15803 15583 4195
15503 15802 15588 4195
15502 15804 15585 4195
15502 15805 15585 4196
15505 15802 15587 4196
15499 15804 15583 4196
15505 15801 15583 4196
15505 15799 15583 4196
15505 15800 15586 4197
15503 15801 15586 4196
15502 15800 15585 4196
15502 15801 15586 4196
15507 15808 15587 4195
15508 15802 15586 4195
15503 15805 15587 4195
15505 15798 15587 4195
15502 15797 15585 4196
15505 15801 15590 4196
15506 15801 15590 4197
15503 15799 15591 4197
15507 15801 15591 4196
15504 15800 15590 4196
15505 15802 15589 4196
15503 15803 15589 4197
15502 15802 15589 4196
15508 15802 15587 4196
15502 15806 15589 4196
15504 15799 15587 4196
15508 15799 15589 4196
15504 15798 15589 4195
15503 15802 15587 4195
15504 15799 15583 4197
15502 15800 15582 4196
15503 15801 15586 4196
15504 15801 15586 4196
15507 15796 15586 4197
15506 15798 15588 4196
15501 15799 15587 4197
15503 15800 15589 4196
15498 15799 15584 4196
15500 15799 15587 4196
15503 15802 15585 4196
15501 15797 15585 4196
15505 15798 15586 4197
15504 15801 15586 4196
15502 15798 15587 4196
15505 15800 15589 4197
15501 15798 15589 4196
15499 15800 15588 4197
15500 15797 15592 4196
15504 15798 15588 4196
15501 15799 15585 4196
15505 15799 15585 4197
15504 15799 15589 4196
15511 15803 15591 4197
15509 15804 15589 4196
15508 15800 15587 4197
15507 15800 15586 4196
15506 15804 15583 4197
15503 15797 15582 4197
15507 15796 15583 4197
15506 15798 15581 4197
15506 15800 15582 4196
15506 15800 15582 4197
15507 15796 15584 4196
15508 15795 15584 4196
15508 15800 15582 4197
15504 15797 15582 4196
15501 15797 15580 4197
15503 15799 15581 4195
15505 15797 15582 4197
15498 15801 15580 4196
15505 15798 15581 4196
15509 15797 15583 4196
15508 15798 15584 4197
15510 15803 15588 4197
15506 15802 15586 4196
15506 15804 15591 4197
15504 15801 15591 4196
15505 15801 15590 4197
15502 15806 15590 4197
15504 15800 15587 4196
15505 15803 15587 4198
15507 15806 15586 4197
15509 15800 15585 4197
15505 15798 15588 4196
15503 15798 15585 4197
15501 15802 15585 4197
15506 15800 15584 4197
15506 15802 15586 4196
15501 15800 15584 4196
15503 15798 15582 4196
15505 15796 15584 4197
15504 15799 15582 4196
15504 15799 15581 4196
15502 15804 15583 4197
15497 15800 15584 4197
15497 15799 15581 4195
15496 15798 15585 4196
15500 15799 15586 4196
15497 15796 15582 4197
15498 15796 15583 4197
15504 15796 15581 4197
15501 15800 15582 4197
15503 15802 15579 4196
15501 15799 15580 4197
15503 15796 15580 4197
15504 15796 15580 4196
15499 15795 15578 4197
15503 15798 15579 4197
15501 15799 15579 4196
15501 15798 15578 4197
15520 15807 15598 4196
15518 15807 15594 4196
15517 15806 15593 4197
15519 15809 15597 4198
15518 15809 15596 4197
15517 15807 15598 4197
15517 15804 15595 4197
15520 15808 15597 4197
15519 15806 15597 4198
15519 15806 15596 4197
15516 15807 15594 4197
15518 15806 15591 4198
15521 15803 15594 4198
15518 15804 15595 4197
15517 15805 15595 4197
15519 15807 15593 4198
15516 15802 15592 4198
15515 15805 15596 4197
15519 15807 15593 4198
15520 15806 15596 4198
15523 15809 15598 4198
15520 15805 15597 4197
15519 15802 15597 4197
15521 15806 15596 4197
15517 15807 15597 4198
15523 15807 15595 4198
15519 15805 15597 4198
15519 15803 15597 4198
15519 15803 15595 4197
15519 15801 15595 4197
15517 15804 15596 4198
15517 15804 15596 4198
15517 15810 15597 4197
15518 15807 15595 4197
15519 15807 15593 4197
15514 15808 15593 4198
15516 15802 15595 4197
15519 15809 15590 4197
15514 15803 15591 4197
15509 15805 15592 4198
15515 15802 15589 4197
15517 15798 15593 4198
15511 15805 15593 4198
15510 15802 15592 4197
15512 15806 15593 4198
15512 15803 15591 4198
15515 15803 15590 4198
15509 15801 15589 4198
15509 15805 15590 4198
15513 15805 15589 4199
15513 15807 15590 4199
15513 15804 15588 4198
15505 15800 15588 4198
15510 15799 15588 4198
15510 15803 15591 4198
15516 15804 15588 4198
15512 15803 15590 4198
15511 15804 15589 4198
15513 15803 15588 4198
15513 15801 15587 4198
15512 15804 15587 4197
15513 15799 15589 4197
15514 15799 15591 4198
15510 15803 15591 4198
15510 15798 15590 4199
15511 15801 15591 4198
15513 15802 15591 4198
15515 15803 15589 4198
15514 15801 15592 4198
15513 15802 15593 4197
15513 15803 15594 4197
15512 15803 15591 4197
15512 15805 15589 4198
15513 15806 15588 4197
15516 15806 15593 4199
15515 15806 15595 4198
15512 15805 15592 4199
15514 15804 15597 4199
15512 15803 15596 4198
15509 15806 15594 4199
15509 15800 15595 4198
15510 15804 15595 4198
15510 15805 15594 4198
15513 15803 15593 4198
15506 15802 15592 4199
15511 15802 15589 4199
15507 15801 15591 4198
15506 15800 15592 4199
15514 15799 15595 4198
15508 15800 15592 4198
