#rmin rmax central devtempsns
# tap water initially at roughly 17 °C
15593 16174 15668 4295
15588 16173 15667 4295
15592 16176 15671 4296
15591 16177 15670 4295
15590 16177 15672 4295
15590 16176 15673 4297
15589 16173 15671 4294
15590 16173 15670 4295
15592 16177 15674 4294
15590 16179 15673 4294
15597 16181 15673 4295
15595 16185 15674 4295
15594 16177 15672 4295
15599 16178 15669 4294
15594 16179 15671 4294
15591 16181 15670 4294
15597 16179 15669 4294
15592 16180 15667 4294
15591 16177 15668 4294
15593 16176 15668 4294
15589 16177 15667 4293
15588 16178 15667 4294
15592 16178 15666 4295
15589 16177 15666 4294
15587 16177 15663 4294
15587 16177 15663 4294
15590 16175 15665 4295
15587 16178 15665 4295
15583 16178 15665 4294
15598 16177 15671 4294
15596 16177 15670 4295
15593 16174 15672 4294
15597 16174 15669 4294
15593 16177 15669 4294
15594 16178 15666 4293
15591 16179 15667 4294
15596 16175 15667 4293
15590 16176 15671 4294
15590 16174 15670 4294
15591 16175 15671 4294
15587 16173 15669 4294
15588 16174 15669 4294
15584 16175 15668 4294
15576 16176 15665 4293
15581 16174 15662 4293
15585 16173 15667 4295
15580 16178 15667 4293
15584 16174 15667 4294
15577 16176 15665 4294
15579 16173 15664 4294
15600 16174 15672 4294
15593 16174 15671 4293
15598 16174 15672 4294
15593 16174 15671 4294
15594 16175 15669 4294
15591 16175 15670 4294
15595 16177 15673 4294
15595 16177 15669 4293
15591 16177 15669 4294
15591 16179 15671 4294
15585 16174 15672 4293
15590 16176 15672 4293
15589 16175 15671 4293
15593 16171 15669 4293
15588 16172 15667 4293
15586 16175 15667 4292
15589 16177 15668 4293
15590 16177 15666 4292
15587 16175 15667 4294
15586 16174 15667 4292
15584 16179 15669 4293
15590 16179 15664 4293
15592 16174 15662 4292
15589 16174 15663 4293
15590 16176 15665 4293
15590 16174 15664 4294
15590 16178 15664 4293
15591 16177 15667 4293
15590 16171 15664 4293
15589 16171 15663 4293
15589 16171 15661 4294
15584 16175 15659 4294
15588 16177 15662 4293
15589 16173 15662 4294
15588 16171 15662 4293
15587 16170 15660 4293
15588 16172 15659 4293
